game 2
ply 21|1000000000000010000020000000010002020200000100000000000|10 10 0 0|0 0 0 0|0 0 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 26 27 28 29 31 32 33 35 37 39 40 41 42 43 45 46 47 48 49 50 51 52 53 54 55
ply 26|1000000000000010000020000100010002020200000100000000000|9 10 0 0|0 0 0 0|0 0 0 0|2|0||2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 27 28 29 31 32 33 35 37 39 40 41 42 43 45 46 47 48 49 50 51 52 53 54 55
ply 55|1000000000000010000020000100010002020200000100000000002|9 9 0 0|0 0 0 0|0 0 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 27 28 29 31 32 33 35 37 39 40 41 42 43 45 46 47 48 49 50 51 52 53 54
ply 46|1000000000000010000020000100010002020200000101000000002|8 9 0 0|0 0 0 0|0 0 0 0|2|0||2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 27 28 29 31 32 33 35 37 39 40 41 42 43 45 47 48 49 50 51 52 53
ply 53|1000000000000010000020000100010002020200000101000000202|8 8 0 0|0 0 0 0|0 0 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 27 28 29 31 32 33 35 37 40 41 42 43 45 47 48 49 50 51 54 130
ply 51|1000000000000010000020000100010002020200000101000010202|7 8 0 0|0 0 0 0|0 0 0 0|2|0||2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 27 28 29 31 32 33 35 37 39 40 41 42 43 45 47 48 49 50 52
ply 32|1000000000000010000020000100010202020200000101000010202|7 7 0 0|0 0 0 0|0 0 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 27 28 29 31 33 35 37 40 41 42 43 45 47 48 49 50 54 130
ply 37|1000000000000010000020000100010202021200000101000010202|6 7 0 0|0 0 0 0|0 0 0 0|2|0||2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 27 28 29 31 33 35 39 41 42 43 45 47 48 49 50 52
ply 17|1000000000000010200020000100010202021200000101000010202|6 6 0 0|0 0 0 0|0 0 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 22 23 24 25 27 28 29 31 33 35 40 41 42 43 45 47 48 49 50 54 130
ply 130|1000000000000010200020000100000202020000000000000010202|10 6 0 0|1 0 0 0|0 1 0 0|2|0||2 3 4 5 6 7 8 9 11 12 13 14 16 18 19 20 22 23 24 25 27 28 29 30 31 33 35 37 38 39 41 42 43 44 45 46 47 48 49 50 52
ply 30|1000000000000010200020000100020202020000000000000010202|10 5 0 0|1 0 0 0|0 1 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 22 23 24 25 27 28 29 31 33 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 54
ply 41|1000000000000010200020000100020202020000100000000010202|9 5 0 0|1 0 0 0|0 1 0 0|2|0||2 3 4 5 6 7 8 9 11 12 13 14 16 18 19 20 22 23 24 25 27 28 29 31 33 35 37 38 39 42 43 44 45 46 47 48 49 50 52
ply 45|1000000000000010200020000100020202020000100020000010202|9 4 0 0|1 0 0 0|0 1 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 22 23 24 25 27 28 29 31 33 35 37 38 39 40 42 43 44 46 47 48 49 50 52 54
ply 28|1000000000000010200020000101020202020000100020000010202|8 4 0 0|1 0 0 0|0 1 0 0|2|0||2 3 4 5 6 7 8 9 11 12 13 14 16 18 19 20 22 23 24 25 27 29 31 33 35 37 38 39 42 43 44 46 47 48 49 50 52
ply 18|1000000000000010220020000101020202020000100020000010202|8 3 0 0|1 0 0 0|0 1 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 19 20 22 23 24 25 27 29 31 33 35 37 38 39 40 42 43 44 46 47 48 49 50 52 54
ply 14|1000000000000110220020000101020202020000100020000010202|7 3 0 0|1 0 0 0|0 1 0 0|2|0||2 3 4 5 6 7 8 9 11 12 13 16 19 20 22 23 24 25 27 29 31 33 35 37 38 39 42 43 44 46 47 48 49 50 52 100
ply 100|1000000000000110200020000001020000020000100020000010202|7 6 0 0|1 1 0 0|1 1 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 16 18 19 20 22 23 24 25 26 27 29 31 32 33 34 35 37 38 39 40 42 43 44 46 47 48 49 50 52 54
ply 39|1000000000000110200020000001020000020010100020000010202|6 6 0 0|1 1 0 0|1 1 0 0|2|0||2 3 4 5 6 7 8 9 11 12 13 16 18 19 20 22 23 24 25 26 27 29 31 32 33 34 35 37 38 40 42 43 44 46 47 48 49 50 52
ply 47|1000000000000110200020000001020000020010100020200010202|6 5 0 0|1 1 0 0|1 1 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 16 18 19 20 22 23 24 25 26 27 29 31 32 33 34 35 37 38 40 42 43 44 48 49 50 52 54
ply 5|1000100000000110200020000001020000020010100020200010202|5 5 0 0|1 1 0 0|1 1 0 0|2|0||2 3 4 6 7 8 9 11 12 13 16 18 19 20 22 23 24 25 26 27 29 31 32 33 34 35 37 38 42 43 44 46 48 49 50 52
ply 49|1000100000000110200020000001020000020010100020202010202|5 4 0 0|1 1 0 0|1 1 0 0|1|0||3 4 6 7 8 9 10 11 12 13 16 18 19 20 22 23 24 25 26 27 29 31 32 33 34 35 37 38 40 42 43 44 48 50 52 54
ply 27|1000100000000110200020000011020000020010100020202010202|4 4 0 0|1 1 0 0|1 1 0 0|2|0||2 3 4 6 7 8 9 11 12 13 16 18 19 20 22 23 24 25 26 29 31 32 33 34 35 37 38 42 43 44 46 48 50 52
ply 19|1000100000000110202020000011020000020010100020202010202|4 3 0 0|1 1 0 0|1 1 0 0|1|0||3 4 6 7 8 9 10 11 12 13 16 18 20 22 23 24 25 26 29 31 32 33 34 35 37 38 40 42 43 44 48 50 52 54
ply 34|1000100000000110202020000011020001020010100020202010202|3 3 0 0|1 1 0 0|1 1 0 0|2|0||2 3 4 6 7 8 9 11 12 13 16 18 20 22 23 24 25 26 29 31 32 33 35 37 38 42 43 44 46 48 50 52
ply 29|1000100000000110202020000011220001020010100020202010202|3 2 0 0|1 1 0 0|1 1 0 0|1|0||3 4 6 7 8 9 10 11 12 13 16 18 20 22 23 24 25 26 31 32 33 35 37 38 40 42 43 44 48 50 52 54
ply 12|1000100000010110202020000011220001020010100020202010202|2 2 0 0|1 1 0 0|1 1 0 0|2|0||2 3 4 6 7 8 9 11 13 16 18 20 22 23 24 25 26 31 32 33 35 37 38 42 43 44 46 48 50 52
ply 16|1000100000010112202020000011220001020010100020202010202|2 1 0 0|1 1 0 0|1 1 0 0|1|0||3 4 6 7 8 9 10 11 13 18 20 22 23 24 25 26 31 32 33 35 37 38 40 42 43 44 48 50 52 54 124
ply 26|1000100000010112202020000111220001020010100020202010202|1 1 0 0|1 1 0 0|1 1 0 0|2|0||2 3 4 6 7 8 11 13 18 20 22 23 25 31 32 33 35 37 38 42 43 44 46 48 50 52
ply 18|1000100000010112222020000111220001020010100020202010202|1 0 0 0|1 1 0 0|1 1 0 0|0|1||
game 3
